Sr. No.,Code,Algorithm
20,"X = [[1,2,3],[4 ,5,6],[7 ,8,9]] Y = [[9,8,7], [6,5,4], [3,2,1]] result = [[0,0,0], [0,0,0], [0,0,0]] for i in range(len(X)): for j in range(len(X[0])): result[i][j] = X[i][j] + Y[i][j] for r in result: print(r)","Step 1: Start Step 2: Declare matrix mat1[row][col]; and matrix mat2[row][col]; and matrix sum[row][col]; row= no. of rows, col= no. of columns Step 3: Read row, col, mat1[][] and mat2[][] Step 4: Declare variable i=0, j=0 Step 5: Repeat until i < row 5.1: Repeat until j < col sum[i][j]=mat1[i][j] + mat2[i][j] Set j=j+1 5.2: Set i=i+1 Step 6: sum is the required matrix after addition Step 7: Stop"
21,"# Function for nth fibonacci
# number - Space Optimisation
# Taking 1st two fibonacci numbers as 0 and 1

def fibonacci(n):
	a = 0
	b = 1
	
	# Check is n is less
	# than 0
	if n < 0:
		print(""Incorrect input"")
		
	# Check is n is equal
	# to 0
	elif n == 0:
		return 0
	
	# Check if n is equal to 1
	elif n == 1:
		return b
	else:
		for i in range(1, n):
			c = a + b
			a = b
			b = c
		return b

# Driver Program
print(fibonacci(9))","class Solution {
    public int fib(int n) {
        if (n < 2) {
            return n;
        }
        int p = 0, q = 0, r = 1;
        for (int i = 2; i <= n; ++i) {
            p = q; 
            q = r; 
            r = p + q;
        }
        return r;
    }
}"
22,"from functools import lru_cache

# Function for nth Fibonacci number

# lru_cache will store the result
# so we don't have to find
# fibonacci for same num again


@lru_cache(None)
def fibonacci(num: int) -> int:

	# check if num is less than 0
	# it will return none
	if num < 0:
		print(""Incorrect input"")
		return

	# check if num between 1, 0
	# it will return num
	elif num < 2:
		return num

	# return the fibonacci of num - 1 & num - 2
	return fibonacci(num - 1) + fibonacci(num - 2)


# Driver Program
print(fibonacci(9))

"," function memo(func) {
  const cache = [1,1]
  return (n) => {
   if (!cache[n]) {
     cache[n] = func(n)
   }
   result = cache[n]
   //----> console.log(cache)
   return result
  }
}"
23,"def fibonacci(n, memo={}):
	if n <= 0:
		return 0
	elif n == 1:
		return 1
	elif n in memo:
		return memo[n]
	else:
		memo[n] = fibonacci(n-1) + fibonacci(n-2)
		return memo[n]

# Driver Program
print(fibonacci(9))","Procedure Recursive_Fibonacci(n)
    int f0, f1
    f0 := 0
    f1 := 1
    if(n <= 1):
        return n
    return Recursive_Fibonacci(n-1) + Recursive_Fibonacci(n-2)
END Recursive_Fibonacci"
24,"# Python 3 program for recursive binary search.
# Modifications needed for the older Python 2 are found in comments.

# Returns index of x in arr if present, else -1
def binary_search(arr, low, high, x):

	# Check base case
	if high >= low:

		mid = (high + low) // 2

		# If element is present at the middle itself
		if arr[mid] == x:
			return mid

		# If element is smaller than mid, then it can only
		# be present in left subarray
		elif arr[mid] > x:
			return binary_search(arr, low, mid - 1, x)

		# Else the element can only be present in right subarray
		else:
			return binary_search(arr, mid + 1, high, x)

	else:
		# Element is not present in the array
		return -1

# Test array
arr = [ 2, 3, 4, 10, 40 ]
x = 10

# Function call
result = binary_search(arr, 0, len(arr)-1, x)

if result != -1:
	print(""Element is present at index"", str(result))
else:
	print(""Element is not present in array"")"," binarySearch(arr, x, low, high)
        repeat till low = high
               mid = (low + high)/2
                   if (x == arr[mid])
                   return mid
   
                   else if (x > arr[mid]) // x is on the right side
                       low = mid + 1
   
                   else                  // x is on the left side
                       high = mid - 1"
25,"# Iterative Binary Search Function
# It returns index of x in given array arr if present,
# else returns -1
def binary_search(arr, x):
	low = 0
	high = len(arr) - 1
	mid = 0

	while low <= high:

		mid = (high + low) // 2

		# If x is greater, ignore left half
		if arr[mid] < x:
			low = mid + 1

		# If x is smaller, ignore right half
		elif arr[mid] > x:
			high = mid - 1

		# means x is present at mid
		else:
			return mid

	# If we reach here, then the element was not present
	return -1


# Test array
arr = [ 2, 3, 4, 10, 40 ]
x = 10

# Function call
result = binary_search(arr, x)

if result != -1:
	print(""Element is present at index"", str(result))
else:
	print(""Element is not present in array"")"," binarySearch(arr, x, low, high)
           if low > high
               return False 
   
           else
               mid = (low + high) / 2 
               if x == arr[mid]
                   return mid
       
               else if x > arr[mid]        // x is on the right side
                   return binarySearch(arr, x, mid + 1, high)
               
               else                        // x is on the left side
                   return binarySearch(arr, x, low, mid - 1)"
26,"# Python program for implementation of Bubble Sort


def bubbleSort(arr):
	n = len(arr)

	# Traverse through all array elements
	for i in range(n):

		# Last i elements are already in place
		for j in range(0, n-i-1):

			# traverse the array from 0 to n-i-1
			# Swap if the element found is greater
			# than the next element
			if arr[j] > arr[j+1]:
				arr[j], arr[j+1] = arr[j+1], arr[j]


# Driver code to test above
if __name__ == ""__main__"":
arr = [5, 1, 4, 2, 8]

bubbleSort(arr)

print(""Sorted array is:"")
for i in range(len(arr)):
	print(""%d"" % arr[i], end="" "")","begin BubbleSort(list)

   for all elements of list
      if list[i] > list[i+1]
         swap(list[i], list[i+1])
      end if
   end for
   
   return list
   
end BubbleSort"
27,"# Python code to illustrate read() mode
file = open(""file.txt"", ""r"")
print (file.read())","FILE * filePointer; 

filePointer = fopen(?fileName.txt?, ?r?);

fscanf(filePointer, ""%s %s %s %d"", str1, str2, str3, &year);"
28,"# Python code to create a file
file = open('geek.txt','w')
file.write(""This is the write command"")
file.write(""It allows us to write in a particular file"")
file.close()","FILE *filePointer ; 

filePointer = fopen(?fileName.txt?, ?w?);

fprintf(filePointer, ""%s %s %s %d"", ""We"", ""are"", ""in"", 2012);"
29,"# Python code to illustrate append() mode
file = open('geek.txt', 'a')
file.write(""This will add this line"")
file.close()","FILE *filePointer ; 

filePointer= fopen(?fileName.txt?, ?w?);

---------- Some file Operations -------

fclose(filePointer)"
30,"# Python program for implementation of MergeSort
def mergeSort(arr):
	if len(arr) > 1:

		# Finding the mid of the array
		mid = len(arr)//2

		# Dividing the array elements
		L = arr[:mid]

		# into 2 halves
		R = arr[mid:]

		# Sorting the first half
		mergeSort(L)

		# Sorting the second half
		mergeSort(R)

		i = j = k = 0

		# Copy data to temp arrays L[] and R[]
		while i < len(L) and j < len(R):
			if L[i] <= R[j]:
				arr[k] = L[i]
				i += 1
			else:
				arr[k] = R[j]
				j += 1
			k += 1

		# Checking if any element was left
		while i < len(L):
			arr[k] = L[i]
			i += 1
			k += 1

		while j < len(R):
			arr[k] = R[j]
			j += 1
			k += 1

# Code to print the list


def printList(arr):
	for i in range(len(arr)):
		print(arr[i], end="" "")
	print()


# Driver Code
if __name__ == '__main__':
	arr = [12, 11, 13, 5, 6, 7]
	print(""Given array is"", end=""\n"")
	printList(arr)
	mergeSort(arr)
	print(""Sorted array is: "", end=""\n"")
	printList(arr)

# This code is contributed by Mayank Khanna","MERGE_SORT(arr, beg, end)  
  
if beg < end  
set mid = (beg + end)/2  
MERGE_SORT(arr, beg, mid)  
MERGE_SORT(arr, mid + 1, end)  
MERGE (arr, beg, mid, end)  
end of if  
  
END MERGE_SORT  "
31,"def bubbleSort(arr):

    n = len(arr)
 

    # Traverse through all array elements

    for i in range(n):
 

        # Last i elements are already in place

        for j in range(0, n-i-1):
 

            # traverse the array from 0 to n-i-1

            # Swap if the element found is greater

            # than the next element

            if arr[j] > arr[j+1]:

                arr[j], arr[j+1] = arr[j+1], arr[j]
 
 
# Driver code to test above

if _name_ == ""_main_"":

  arr = [5, 1, 4, 2, 8]
 

  bubbleSort(arr)
 

  print(""Sorted array is:"")

  for i in range(len(arr)):

      print(""%d"" % arr[i], end="" "")","1. Run a nested for loop to traverse the input array using two variables i and j, such that 0 ó i < n-1 and 0 ó j < n-i-1
2. If arr[j] is greater than arr[j+1] then swap these adjacent elements, else move on
3. Print the sorted array"
32,"def binary_search(arr, low, high, x):
 

    # Check base case

    if high >= low:
 

        mid = (high + low) // 2
 

        # If element is present at the middle itself

        if arr[mid] == x:

            return mid
 

        # If element is smaller than mid, then it can only

        # be present in left subarray

        elif arr[mid] > x:

            return binary_search(arr, low, mid - 1, x)
 

        # Else the element can only be present in right subarray

        else:

            return binary_search(arr, mid + 1, high, x)
 

    else:

        # Element is not present in the array

        return -1
 
# Test array

arr = [ 2, 3, 4, 10, 40 ]

x = 10
 
# Function call

result = binary_search(arr, 0, len(arr)-1, x)
 

if result != -1:

    print(""Element is present at index"", str(result))

else:

    print(""Element is not present in array"")","1. Compare x with the middle element.
2. If x matches with the middle element, we return the mid index.
3. Else if x is greater than the mid element, then x can only lie in the right (greater) half subarray after the mid element. Then we apply the algorithm again for the right half.
4. Else if x is smaller, the target x must lie in the left (lower) half. So we apply the algorithm for the left half."
33,"def partition(array, low, high):
 

    # choose the rightmost element as pivot

    pivot = array[high]
 

    # pointer for greater element

    i = low - 1
 

    # traverse through all elements

    # compare each element with pivot

    for j in range(low, high):

        if array[j] <= pivot:
 

            # If element smaller than pivot is found

            # swap it with the greater element pointed by i

            i = i + 1
 

            # Swapping element at i with element at j

            (array[i], array[j]) = (array[j], array[i])
 

    # Swap the pivot element with the greater element specified by i

    (array[i + 1], array[high]) = (array[high], array[i + 1])
 

    # Return the position from where partition is done

    return i + 1
 
# function to perform quicksort
 
 

def quickSort(array, low, high):

    if low < high:
 

        # Find pivot element such that

        # element smaller than pivot are on the left

        # element greater than pivot are on the right

        pi = partition(array, low, high)
 

        # Recursive call on the left of pivot

        quickSort(array, low, pi - 1)
 

        # Recursive call on the right of pivot

        quickSort(array, pi + 1, high)
 
 

data = [1, 7, 4, 1, 10, 9, -2]

print(""Unsorted Array"")

print(data)
 

size = len(data)
 

quickSort(data, 0, size - 1)
 

print('Sorted Array in Ascending Order:')

print(data)","// low  --> Starting index,
// high  --> Ending index
quickSort(arr[], low, high) {

  // Till starting index is lesser than ending index
  if (low < high) {

    // pi is partitioning index,
    // arr[p] is now at right place
    pi = partition(arr, low, high);

    // Before pi
    quickSort(arr, low, pi - 1);
    // After pi
    quickSort(arr, pi + 1, high);
  }
}"
34,"def insertionSort(arr):
 

    # Traverse through 1 to len(arr)

    for i in range(1, len(arr)):
 

        key = arr[i]
 

        # Move elements of arr[0..i-1], that are

        # greater than key, to one position ahead

        # of their current position

        j = i-1

        while j >= 0 and key < arr[j] :

                arr[j + 1] = arr[j]

                j -= 1

        arr[j + 1] = key
 
 
# Driver code to test above

arr = [12, 11, 13, 5, 6]
insertionSort(arr)

for i in range(len(arr)):

    print (""% d"" % arr[i])","1. Iterate from arr[1] to arr[N] over the array. 
2. Compare the current element (key) to its predecessor. 
3. If the key element is smaller than its predecessor, compare it to the elements before. Move the greater elements one position up to make space for the swapped element."
35,"def search(arr, N, x):
 
    for i in range(0, N):
        if (arr[i] == x):
            return i
    return -1
 
 
# Driver Code
if _name_ == ""_main_"":
    arr = [2, 3, 4, 10, 40]
    x = 10
    N = len(arr)
 
    # Function call
    result = search(arr, N, x)
    if(result == -1):
        print(""Element is not present in array"")
    else:
        print(""Element is present at index"", result)","Step 1: First, read the search element (Target element) in the array.
Step 2: Set an integer i = 0 and repeat steps 3 to 4 till i reaches the end of the array.
Step 3: Match the key with arr[i].
Step 4: If the key matches, return the index. Otherwise, increment i by 1."
36,"import sys

A = [64, 25, 12, 22, 11]
 
# Traverse through all array elements

for i in range(len(A)):

     

    # Find the minimum element in remaining 

    # unsorted array

    min_idx = i

    for j in range(i+1, len(A)):

        if A[min_idx] > A[j]:

            min_idx = j

             

    # Swap the found minimum element with 

    # the first element        

    A[i], A[min_idx] = A[min_idx], A[i]
 
# Driver code to test above

print (""Sorted array"")

for i in range(len(A)):

    print(""%d"" %A[i],end="" , "")","1. Initialize minimum value(min_idx) to location 0.
2. Traverse the array to find the minimum element in the array.
3. While traversing if any element smaller than min_idx is found then swap both values.
4. Then, increment min_idx to point to the next element.
Repeat until the array is sorted."
37,"#Initialize array     
arr = [1, 2, 3, 4, 5];     
     
print(""Elements of given array: "");    
#Loop through the array by incrementing the value of i     
    
for i in range(0, len(arr)):    
    print(arr[i])","STEP 1: Declare and initialize an array.
STEP 2: Loop through the array by incrementing the value of i.
STEP 3: Finally, print out each element of the array."
38,"from collections import defaultdict
 
# This class represents a directed graph using
# adjacency list representation
 
 

class Graph:
 

    # Constructor

    def _init_(self):
 

        # default dictionary to store graph

        self.graph = defaultdict(list)
 

    # function to add an edge to graph

    def addEdge(self, u, v):

        self.graph[u].append(v)
 

    # A function used by DFS

    def DFSUtil(self, v, visited):
 

        # Mark the current node as visited

        # and print it

        visited.add(v)

        print(v, end=' ')
 

        # Recur for all the vertices

        # adjacent to this vertex

        for neighbour in self.graph[v]:

            if neighbour not in visited:

                self.DFSUtil(neighbour, visited)
 

    # The function to do DFS traversal. It uses

    # recursive DFSUtil()

    def DFS(self, v):
 

        # Create a set to store visited vertices

        visited = set()
 

        # Call the recursive helper function

        # to print DFS traversal

        self.DFSUtil(v, visited)
 
# Driver's code
 
 
# Create a graph given
# in the above diagram

if _name_ == ""_main_"":

    g = Graph()

    g.addEdge(0, 1)

    g.addEdge(0, 2)

    g.addEdge(1, 2)

    g.addEdge(2, 0)

    g.addEdge(2, 3)

    g.addEdge(3, 3)
 

    print(""Following is DFS from (starting from vertex 2)"")

    # Function call

    g.DFS(2)","1.  Create a recursive function that takes the index of the node and a visited array.
2. Mark the current node as visited and print the node.
3. Traverse all the adjacent and unmarked nodes and call the recursive function with the index of the adjacent node."
39,"def bfsOfGraph(V, adj):
 

    bfs_traversal = []

    vis = [False]*V

    for i in range(V):
 

        # To check if already visited

        if (vis[i] == False):

            q = []

            vis[i] = True

            q.append(i)
 

            # BFS starting from ith node

            while (len(q) > 0):

                g_node = q.pop(0)
 

                bfs_traversal.append(g_node)

                for it in adj[g_node]:

                    if (vis[it] == False):

                        vis[it] = True

                        q.append(it)
 

    return bfs_traversal","Step 1: Consider the graph you want to navigate.

Step 2: Select any vertex in your graph, Say v1, from which you want to traverse the graph.

Step 3:Examine any two data structure for traversing the graph.

             Visited array(size of the graph)

             Queue data structure

Step 4:Starting from the vertex, you will add to the visited array, and afterward, you will v1?s adjacent vertices to the queue data structure.

Step 5:Now,using the FIFO concept, you must remove the element from the queue , put it into the visited array, and then return to the queue to add the adjacent vertices of the removed element.

Step 6:Repeat step 5 until the queue is not empty and no vertex is left to be visite"
40,"from collections import defaultdict
 
# This class represents a directed graph
# using adjacency list representation
 
 

class Graph:
 

    # Constructor

    def _init_(self):
 

        # default dictionary to store graph

        self.graph = defaultdict(list)
 

    # function to add an edge to graph

    def addEdge(self, u, v):

        self.graph[u].append(v)
 

    # Function to print a BFS of graph

    def BFS(self, s):
 

        # Mark all the vertices as not visited

        visited = [False] * (max(self.graph) + 1)
 

        # Create a queue for BFS

        queue = []
 

        # Mark the source node as

        # visited and enqueue it

        queue.append(s)

        visited[s] = True
 

        while queue:
 

            # Dequeue a vertex from

            # queue and print it

            s = queue.pop(0)

            print(s, end="" "")
 

            # Get all adjacent vertices of the

            # dequeued vertex s. If a adjacent

            # has not been visited, then mark it

            # visited and enqueue it

            for i in self.graph[s]:

                if visited[i] == False:

                    queue.append(i)

                    visited[i] = True
 
# Driver code
 
 
# Create a graph given in
# the above diagram

g = Graph()

g.addEdge(0, 1)

g.addEdge(0, 2)

g.addEdge(1, 2)

g.addEdge(2, 0)

g.addEdge(2, 3)

g.addEdge(3, 3)
 

print(""Following is Breadth First Traversal""

      "" (starting from vertex 2)"")

g.BFS(2)","Step 1: Consider the graph you want to navigate.

Step 2: Select any vertex in your graph, Say v1, from which you want to traverse the graph.

Step 3:Examine any two data structure for traversing the graph.

             Visited array(size of the graph)

             Queue data structure

Step 4:Starting from the vertex, you will add to the visited array, and afterward, you will v1?s adjacent vertices to the queue data structure.

Step 5:Now,using the FIFO concept, you must remove the element from the queue , put it into the visited array, and then return to the queue to add the adjacent vertices of the removed element.

Step 6:Repeat step 5 until the queue is not empty and no vertex is left to be visite"
41,"def binary_search(arr, low, high, x): if high >= low: mid = (high + low) // 2 middle itself if arr[mid] == x: return mid then it can only elif arr[mid] > x: return binary_search(arr, low, mid - 1, x) present in right subarray else: return binary_search(arr, mid + 1, high, x) else: array return -1 arr = [ 2, 3, 4, 10, 40 ] x = 10 result = binary_search(arr, 0, len(arr)-1, x) if result != -1: print(""Element is present at index"", str(result)) else: print(""Element is not present in array"")","1. Compare x with the middle element. 2. If x matches with the middle element, we return the mid index. 3. Else if x is greater than the mid element, then x can only lie in the right (greater) half subarray after the mid element. 4. Then we apply the algorithm again for the right half. 5. Else if x is smaller, the target x must lie in the left (lower) half. So we apply the algorithm for the left half."
42,"def search(arr, x): for i in range(len(arr)): if arr[i] == x: return i return -1","1. Start from the leftmost element of arr[] and one by one compare x with each element of arr[] 2. If x matches with an element, return the index. 3. If x doesn’t match with any of the elements, return -1."
43,"def search(arr, curr_index, key): if curr_index == -1: return -1 if arr[curr_index] == key: return curr_index return search(arr, curr_index-1, key)","1. Start from the leftmost element of arr[] and one by one compare x with each element of arr[] 2. If x matches with an element, return the index. 3. If x doesn’t match with any of the elements, return -1."
44,"import datetime now = datetime.datetime.now() print (""Current date and time : "") print (now.strftime(""%Y-%m-%d %H:%M:%S""))","1. import datetime imports the datetime module which supplies classes for manipulating dates and times. 2. now = datetime.datetime.now() creates a datetime object for the current date and time. 3. print (""Current date and time : "") prints the string ""Current date and time : "" to the console. 4. print (now.strftime(""%Y-%m-%d %H:%M:%S"")) uses the strftime() method of the datetime object to format the date and time as a string in the format ""YYYY-MM-DD HH:MM:SS"" and prints it to the console."
45,"dict1 = {'A' : [1, 3, 5, 4], 'B' : [4, 6, 8, 10], 'C' : [6, 12, 4 ,8], 'D' : [5, 7, 2]} print(""The original dictionary is : "" ,dict1) res = list(sorted({ele for val in dict1.values() for ele in val})) print(""The unique values list is : "" , res) ",Step 1- Initialise a dictionary with keys and values Step 2- Print the original dictionary Step 3- Declare a list to store the result Step 4- Using values() to get the values from the dictionary Step 5- Use list comprehension to get values that are not already present in the dictionary Step 6- Use the sorted() method to sort the elements in ascending order Step 7- Print the result
46,"dict1 = {'A' : [10, 11, 2], 'B' : [4, 6, 8, 10], 'C' : [9, 10, 23, 11, 2], 'D' : [10, 3, 4]} print(""The original dictionary is : "" ,dict1) res = list(sorted(set(chain(*dict1.values())))) print(""The unique values list is : "" , res) ",Step 1- Import chain in the program Step 2- Initialise a test dictionary with keys and values Step 3- Print the original dictionary Step 4- Declare a list to store the result Step 4- Using values() select the values from the dictionary Step 5- In list comprehension use chain() to get values that are not already present in the dictionary Step 6- Use the sorted() method to sort the elements in ascending order Step 7- Print the result
47,"# to print a BFS of a graph
def bfs(node):

    # mark vertices as False means not visited
    visited = [False] * (len(graph))

    # make an empty queue for bfs
    queue = []

    # mark gave node as visited and add it to the queue
    visited.append(node)
    queue.append(node)

    while queue:
        # Remove the front vertex or the vertex at the 0th index from the queue and print that vertex.
        v = queue.pop(0)
        print(v, end="" "")

        # Get all adjacent nodes of the removed node v from the graph hash table.
        # If an adjacent node has not been visited yet,
        # then mark it as visited and add it to the queue.
        for neigh in graph[v]:
            if neigh not in visited:
                visited.append(neigh)
                queue.append(neigh)                                                                  # Driver Code
if __name__ == ""__main__"":
    bfs('A')                                                                                                             ","The algorithm can be summarized as follows:

1.Start by adding the root node to a queue
2. While the queue is not empty, dequeue the next node
3. If the node has not been visited, mark it as visited and process it
4. Add all unvisited neighbours of the node to the queue"
48,"# AIM : To implement program of Tower of Hanoi 
def tower_of_hanoi(n, source, auxiliary, destination):
    if n == 1:
        print(f""Move disk 1 from {source} to {destination}"")
        return
    tower_of_hanoi(n-1, source, destination, auxiliary)
    print(f""Move disk {n} from {source} to {destination}"")
    tower_of_hanoi(n-1, auxiliary, source, destination)

# Example Usage:
tower_of_hanoi(3, 'A', 'B', 'C')
","1. Start
2. Read the number of disks n
3. Initialize the source tower as Tower 1, auxiliary tower as Tower 2 and destination tower as Tower 3
Call the function tower_of_hanoi(n, source=1, auxiliary=2, destination=3)
4. Function tower_of_hanoi(n, source, auxiliary, destination):
5. a. if n = 1, print ""Move disk 1 from source to destination"" and return
b. Recursively call tower_of_hanoi with n-1 disks, source as source, destination as auxiliary, and auxiliary as destination
c. Print ""Move disk n from source to destination""
d. Recursively call tower_of_hanoi with n-1 disks, source as auxiliary, destination as destination, and auxiliary as source
6. End"
49,"# Sorting Algorithms
def bubble_sort(arr):
    n = len(arr)
    for i in range(n):
        for j in range(0, n-i-1):
            if arr[j] > arr[j+1]:
                arr[j], arr[j+1] = arr[j+1], arr[j]

arr = [64, 34, 25, 12, 22, 11, 90]
bubble_sort(arr)
print(""Sorted array is:"", arr) ","Input: An array of n elements

1. Start the outer loop from i = 0 to n-1
2. Start the inner loop from j = 0 to n-i-1
3. Check if the element at j is greater than the element at j+1
4.If yes, then swap the elements
5.Continue with the inner loop till j = n-i-1
6.Continue with the outer loop till i = n-1
7.Output the sorted array"
